colony,treatment,nsprawls,dist_to_ent,height_cm,width_cm,area_ellipse,dist_ent_perc
1,vertical,1,0,222,46,8020.32,0.0
2,horizontal,1,0,54,73,3095.97,0.0
3,horizontal,4,190,96,85,3568.7700000000004,81.0
4,vertical,1,122,123,18,1738.83,52.0
5,horizontal,1,0,86,81,5470.97,0.0
6,vertical,4,175,120,57,3300.96,75.0
7,horizontal,2,0,64,70,3518.51,0.0
8,vertical,9,196,211,55,3097.55,83.0
9,vertical,1,0,60,77,3628.46,0.0
10,horizontal,4,60,101,79,3424.26,26.0
11,vertical,1,0,57,77,3447.04,0.0
12,horizontal,4,44,96,126,4872.51,19.0
13,horizontal,1,0,44,48,1658.73,0.0
14,horizontal,1,0,47,41,1513.43,0.0
15,vertical,4,69,185,126,8757.79,30.0
16,horizontal,1,0,57,58,2596.47,0.0
17,vertical,4,105,128,48,2403.27,45.0
18,vertical,4,94,156,50,3161.94,40.0
